Obs.,Easting,Northing,Range
Hall,253096,4651975,Mt. Bidwell
Floyd,745106,4653597,Mt. Bidwell
Hall,244968,4378317,Ladybug-Verdi Pk.
news.,244767,4378015,Ladybug-Verdi Pk.
Hall,248489,4354125,Mt. Rose
LW,247740,4356928,Mt. Rose
Hall,257740,4608699,Fortynine Mts.
Floyd,258424,4608479,Fortynine Mts.
Hall,257691,4372353,Carson Range
news.,257959,4373270,Carson Range
Floyd,421470,4382393,Clan Alpine
Alcorn,420850,4381165,Clan Alpine
Hall,424175,4351054,Desatoya Range
Floyd,423962,4351253,Desatoya Range
Hall,436828,4357724,Desatoya Range
Floyd,435423,4361435,Desatoya Range
Hall,503624,4280713,Toquima Range
Floyd,505801,4277940,Toquima Range
Hall,506519,4287188,Toquima Range
Floyd,505790,4292735,Toquima Range
Hall,536574,4288566,Monitor Range
Floyd,536187,4293432,Monitor Range
Hall,548509,4265460,Hot Creek Range
Floyd,548538,4265435,Hot Creek Range
Hall,627682,4347093,White Pine Range
Floyd,627588,4346370,White Pine Range
Hall,629432,4345592,White Pine Range
Floyd,629303,4346176,White Pine Range
Hall,630371,4345922,White Pine Range
Floyd,630371,4345922,White Pine Range
Hall,630743,4343993,White Pine Range
Floyd,631222,4342942,White Pine Range
Hall,667998,4366010,Egan Range
DVV,667998,4366010,Egan Range
Alcorn,733074,4316638,Snake Rng.
Floyd,736814,4316631,Snake Rng.
Hall,456091,4336320,N. Shoshone Pk.
Floyd,460401,4334447,N. Shoshone Pk.
Hall,545680,4276531,Hot Creek Range
Floyd,545285,4270006,Hot Creek Range
Hall,627627,4345397,White Pine Range
Floyd,628328,4345525,White Pine Range
Hall,704502,4350434,Schell Creek Range
Floyd,703482,4350687,Schell Creek Range
Hall,713301,4352879,Schell Creek Range
Floyd,699888,4347818,Schell Creek Range
Floyd,707791,4360523,Schell Creek Range
Floyd,424079,4350962,Desatoya Rng.
Hall,536574,4288566,Monitor Rng.
Hall,541481,4288022,Monitor Rng.
Floyd,548114,4265870,Hot Creek Rng.
HH,738622,4317781,Snake Rng.
Hall,738622,4317781,Snake Rng.
Floyd,736814,4316631,Snake Rng.
Hall,736814,4316631,Snake Rng.
HH,738100,4321916,Snake Rng.
Hall,738100,4321916,Snake Rng.
HH,736873,4321799,Snake Rng.
Hall,736873,4321799,Snake Rng.
HH,732372,4320202,Snake Rng.
Hall,732372,4320202,Snake Rng.
HH,731496,4325423,Snake Rng.
Hall,730793,4324785,Snake Rng.
Floyd,727927,4326198,Snake Rng.
Floyd,727423,4324659,Snake Rng.
Hall,727935,4323776,Snake Rng.
Floyd,738669,4350693,Snake Rng.
Hall,738669,4350693,Snake Rng.
Hall,743280,4347677,Snake Rng.
Floyd,616912,4227653,Quinn Can. Rng.
Floyd,618162,4225151,Quinn Can. Rng.
Hall,617732,4223735,Quinn Can. Rng.
Hall,432687,4457656,Granite Pk./Mts.
CHF,247778,4494490,Cherry Pk.
Hall,246564,4501783,Burrow Mt.
CHF,246918,4493013,Burrow Mt.
Hall,344847,4268920,Wassuk Mts.
Hall,705712,4644103,Gollaher Mt.
Hall,566143,4570420,Tuscarora Mts.
Hall,302440,4543904,Division Pk.
